from,to,vissim_route,07:15,07:30,07:45,08:00,16:30,16:45,17:00,17:15,NA
1002,1003,10021003,0.109375,0.04225352112676056,0.10714285714285716,0.05999999999999999,0.11538461538461538,0.07017543859649122,0.16666666666666669,0.10714285714285714,0
1002,1012,10021012,0,0,0,0,0,0,0,0,0
1002,1024,10021024,0,0,0,0,0,0,0,0,0
1002,1025,10021025,0,0,0,0,0,0,0,0,0
1002,1031,10021031,0,0,0,0,0,0,0,0,0
1002,1034,10021034,0,0,0,0,0,0,0,0,0
1003,1002,10031002,0.09523809523809525,0.045454545454545456,0.13043478260869565,0.10256410256410255,0.15873015873015875,0.16666666666666666,0.1851851851851852,0.20754716981132076,0
1003,1012,10031012,0,0,0,0,0,0,0,0,0
1003,1024,10031024,0,0,0,0,0,0,0,0,0
1003,1025,10031025,0,0,0,0,0,0,0,0,0
1003,1031,10031031,0,0,0,0,0,0,0,0,0
1003,1034,10031034,0,0,0,0,0,0,0,0,0
1014,1002,10141002,0,0,0,0,0,0,0,0,0
1014,1003,10141003,0,0,0,0,0,0,0,0,0
1014,1012,10141012,0.010309278350515464,0.030612244897959186,0.007692307692307693,0.007194244604316546,0.007633587786259542,0.0036900369003690036,0.0042194092827004225,0.011406844106463879,0
1014,1024,10141024,0,0,0,0,0,0,0,0,0
1014,1025,10141025,0,0,0,0,0,0,0,0,0
1014,1031,10141031,0,0,0,0,0,0,0,0,0
1014,1034,10141034,0,0,0,0,0,0,0,0,0
1022,1002,10221002,0,0,0,0,0,0,0,0,0
1022,1003,10221003,0,0,0,0,0,0,0,0,0
1022,1012,10221012,0,0,0,0,0,0,0,0,0
1022,1024,10221024,0.023809523809523808,0.02857142857142857,0.030303030303030304,0.03225806451612904,0.02857142857142857,0.024390243902439025,0.03225806451612903,0.02439024390243903,0
1022,1025,10221025,0.047619047619047616,0.02857142857142857,0.030303030303030304,0.03225806451612904,0.08571428571428572,0.04878048780487805,0.03225806451612903,0.07317073170731708,0
1022,1031,10221031,0,0,0,0,0,0,0,0,0
1022,1034,10221034,0,0,0,0,0,0,0,0,0
1025,1002,10251002,0,0,0,0,0,0,0,0,0
1025,1003,10251003,0,0,0,0,0,0,0,0,0
1025,1012,10251012,0,0,0,0,0,0,0,0,0
1025,1024,10251024,0.25,0.5,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.6428571428571429,0.3333333333333333,0
1025,1031,10251031,0,0,0,0,0,0,0,0,0
1025,1034,10251034,0,0,0,0,0,0,0,0,0
1031,1002,10311002,0,0,0,0,0,0,0,0,0
1031,1003,10311003,0,0,0,0,0,0,0,0,0
1031,1012,10311012,0,0,0,0,0,0,0,0,0
1031,1024,10311024,0,0,0,0,0,0,0,0,0
1031,1025,10311025,0,0,0,0,0,0,0,0,0
1031,1034,10311034,0.10047846889952154,0.10407239819004524,0.10970464135021096,0.1388888888888889,0.17613636363636365,0.17241379310344826,0.11976047904191615,0.140625,0
1034,1002,10341002,0,0,0,0,0,0,0,0,0
1034,1003,10341003,0,0,0,0,0,0,0,0,0
1034,1012,10341012,0,0,0,0,0,0,0,0,0
1034,1024,10341024,0,0,0,0,0,0,0,0,0
1034,1025,10341025,0,0,0,0,0,0,0,0,0
1034,1031,10341031,0.21212121212121207,0.10638297872340426,0.2571428571428571,0.12000000000000001,0.37288135593220334,0.41935483870967744,0.3888888888888889,0.2545454545454545,0
